,messagenumber,typeOfLevel,level,parameterName,nameOfFirstFixedSurface,nameOfSecondFixedSurface,shortNameECMF,shortName,nameECMF,name,cfNameECMF,cfName,cfVarNameECMF,cfVarName
1140,1141,depthBelowLandLayer,0,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1141,1142,depthBelowLandLayer,0,Soil temperature,Depth below land surface,Depth below land surface,st,st,Soil Temperature,Soil Temperature,unknown,unknown,st,st
1142,1143,depthBelowLandLayer,0,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1143,1144,depthBelowLandLayer,1,Soil temperature,Depth below land surface,Depth below land surface,st,st,Soil Temperature,Soil Temperature,unknown,unknown,st,st
1144,1145,depthBelowLandLayer,1,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1145,1146,depthBelowLandLayer,1,Soil temperature,Depth below land surface,Depth below land surface,st,st,Soil Temperature,Soil Temperature,unknown,unknown,st,st
1146,1147,depthBelowLandLayer,1,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1147,1148,depthBelowLandLayer,2,Soil temperature,Depth below land surface,Depth below land surface,st,st,Soil Temperature,Soil Temperature,unknown,unknown,st,st
1148,1149,depthBelowLandLayer,2,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1149,1150,depthBelowLandLayer,3,Soil temperature,Depth below land surface,Depth below land surface,st,st,Soil Temperature,Soil Temperature,unknown,unknown,st,st
1150,1151,depthBelowLandLayer,3,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1151,1152,surface,0,Vegetation,Ground or water surface,Missing,veg,veg,Vegetation,Vegetation,unknown,unknown,veg,veg
1152,1153,surface,0,231,Ground or water surface,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1153,1154,surface,0,232,Ground or water surface,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1154,1155,surface,0,198,Ground or water surface,Missing,unknown,lai,unknown,Leaf Area Index,unknown,unknown,unknown,unknown
